"Row6820","Paulista[LOCATION(NE)]",""
"Row6882","Rio Grande[LOCATION(NE)]",""
"Row6890","Ilhabela[LOCATION(NE)]",""
"Row6922","Paulista[LOCATION(NE)]",""
"Row6968","Boa Viagem[LOCATION(NE)]",""
"Row7018","Pracinha[LOCATION(NE)]",""
"Row7020","Flores[LOCATION(NE)]",""
"Row7028","Boa Viagem[LOCATION(NE)]",""
"Row7030","Salvador[LOCATION(NE)]",""
"Row7044","Contagem[LOCATION(NE)]",""
"Row7114","descanso[LOCATION(NE)]",""
"Row7119","Navegantes[LOCATION(NE)]",""
"Row7137","alegria[LOCATION(NE)]",""
"Row7142","Reserva[LOCATION(NE)]",""
"Row7172","barro[LOCATION(NE)]",""
"Row7179","feliz[LOCATION(NE)]",""
"Row7316","Bandeirantes[LOCATION(NE)]",""
"Row7375","Recife[LOCATION(NE)]",""
"Row7377","Guararapes[LOCATION(NE)]",""
"Row7388","Presidente Prudente[LOCATION(NE)]",""
"Row7461","Caxias[LOCATION(NE)]",""
"Row7513","Manaus[LOCATION(NE)]",""
"Row7556","Guarulhos[LOCATION(NE)]",""
"Row7567","maravilha[LOCATION(NE)]",""
"Row7602","Santos[LOCATION(NE)]",""
"Row7603","Dumont[LOCATION(NE)]",""
"Row7615","feliz[LOCATION(NE)]",""
"Row7712","Cachoeirinha[LOCATION(NE)]",""
"Row7714","Rio Grande[LOCATION(NE)]",""
"Row7726","Fazenda Nova[LOCATION(NE)]",""
"Row7741","Ipiranga[LOCATION(NE)]",""
"Row7790","Fortaleza[LOCATION(NE)]",""
"Row7826","Barueri[LOCATION(NE)]",""
"Row7881","Colina[LOCATION(NE)]",""
"Row7887","roteiro[LOCATION(NE)]",""
"Row8024","Pedro II[LOCATION(NE)]",""
"Row8048","Recife[LOCATION(NE)]",""
"Row8055","Cunha[LOCATION(NE)]",""
"Row8056","Machado[LOCATION(NE)]",""
"Row8119","Mariana[LOCATION(NE)]",""
"Row8168","Campinas[LOCATION(NE)]",""
"Row8291","Jardim[LOCATION(NE)]",""
"Row8295","Porto Alegre[LOCATION(NE)]",""
"Row8348","Palmares[LOCATION(NE)]",""
"Row8379","Londrina[LOCATION(NE)]",""
"Row8423","Recife[LOCATION(NE)]",""
"Row8448","Porto[LOCATION(NE)]",""
"Row8466","Curitiba[LOCATION(NE)]",""
"Row8483","Santos[LOCATION(NE)]",""
"Row8509","Lagoa[LOCATION(NE)]",""
"Row8561","Porto Alegre[LOCATION(NE)]",""
"Row8651","Saude[LOCATION(NE)]",""
"Row8743","Porto Alegre[LOCATION(NE)]",""
"Row8835","Itapecerica[LOCATION(NE)]",""
"Row8849","Santa Cruz[LOCATION(NE)]",""
"Row8864","Caxias[LOCATION(NE)]",""
"Row8868","valente[LOCATION(NE)]",""
"Row8928","saudades[LOCATION(NE)]",""
"Row9031","Piracicaba[LOCATION(NE)]",""
"Row9074","choro[LOCATION(NE)]",""
"Row9122","maravilhas[LOCATION(NE)]",""
"Row9187","alegria[LOCATION(NE)]",""
"Row9204","Fortaleza[LOCATION(NE)]",""
"Row9225","Lagoa[LOCATION(NE)]",""
"Row9257","Flores[LOCATION(NE)]",""
"Row9261","flores[LOCATION(NE)]",""
"Row9264","canela[LOCATION(NE)]",""
"Row9265","gramado[LOCATION(NE)]",""
"Row9279","Lins[LOCATION(NE)]",""
"Row9380","Rio Grande[LOCATION(NE)]",""
"Row9391","Fortaleza[LOCATION(NE)]",""
"Row9405","mata[LOCATION(NE)]",""
"Row9432","Fortaleza[LOCATION(NE)]",""
"Row9437","Boa viagem[LOCATION(NE)]",""
"Row9496","Salto[LOCATION(NE)]",""
"Row9579","Belford Roxo[LOCATION(NE)]",""
"Row9697","Joao Pessoa[LOCATION(NE)]",""
"Row9723","Guaramiranga[LOCATION(NE)]",""
"Row9743","Pelotas[LOCATION(NE)]",""
"Row9783","Florida[LOCATION(NE)]",""
"Row9827","Ouvidor[LOCATION(NE)]",""
"Row9829","Pardinho[LOCATION(NE)]",""
"Row9844","Santos[LOCATION(NE)]",""
"Row9845","Dumont[LOCATION(NE)]",""
"Row9887","Boa Viagem[LOCATION(NE)]",""
"Row9938","Campo Grande[LOCATION(NE)]",""
"Row10022","Porto Alegre[LOCATION(NE)]",""
"Row10036","Picos[LOCATION(NE)]",""
"Row10067","Caxambu[LOCATION(NE)]",""
"Row10087","Boa Viagem[LOCATION(NE)]",""
"Row10133","Liberdade[LOCATION(NE)]",""
"Row10154","Lins[LOCATION(NE)]",""
"Row10183","Chapada[LOCATION(NE)]",""
"Row10213","feliz[LOCATION(NE)]",""
"Row10223","Cardoso[LOCATION(NE)]",""
"Row10225","Farol[LOCATION(NE)]",""
"Row10241","Seropedica[LOCATION(NE)]",""
"Row10298","Barra[LOCATION(NE)]",""
"Row10311","Saudades[LOCATION(NE)]",""
"Row10331","Flores[LOCATION(NE)]",""
"Row10332","Suzano[LOCATION(NE)]",""
"Row10338","Perdizes[LOCATION(NE)]",""
"Row10346","descanso[LOCATION(NE)]",""
"Row10487","Manaus[LOCATION(NE)]",""
"Row10488","Iranduba[LOCATION(NE)]",""
"Row10518","montenegro[LOCATION(NE)]",""
"Row10521","Lages[LOCATION(NE)]",""
"Row10544","Barcelona[LOCATION(NE)]",""
"Row10649","quadra[LOCATION(NE)]",""
"Row10688","feliz[LOCATION(NE)]",""
"Row10696","Boa Viagem[LOCATION(NE)]",""
"Row10801","Belo Horizonte[LOCATION(NE)]",""
"Row10842","Conquista[LOCATION(NE)]",""
"Row10885","Porto Alegre[LOCATION(NE)]",""
"Row10887","Rio Grande[LOCATION(NE)]",""
"Row10944","descanso[LOCATION(NE)]",""
"Row10958","Belo Horizonte[LOCATION(NE)]",""
"Row11037","Ourinhos[LOCATION(NE)]",""
"Row11129","Santa Cruz[LOCATION(NE)]",""
"Row11244","barreiras[LOCATION(NE)]",""
"Row11285","Mineiros[LOCATION(NE)]",""
"Row11326","Cruzeiro[LOCATION(NE)]",""
"Row11376","Santos[LOCATION(NE)]",""
"Row11395","barra[LOCATION(NE)]",""
"Row11473","Recife[LOCATION(NE)]",""
"Row11663","Saudades[LOCATION(NE)]",""
"Row11724","Rio Claro[LOCATION(NE)]",""
"Row11729","princesa[LOCATION(NE)]",""
"Row11798","Boa Viagem[LOCATION(NE)]",""
"Row11834","Cascavel[LOCATION(NE)]",""
"Row11849","descanso[LOCATION(NE)]",""
"Row11876","Pindamonhangaba[LOCATION(NE)]",""
"Row11919","Bandeirantes[LOCATION(NE)]",""
"Row11959","Arraial Do Cabo[LOCATION(NE)]",""
"Row11976","natercia[LOCATION(NE)]",""
"Row12013","Palmas[LOCATION(NE)]",""
"Row12015","Tocantins[LOCATION(NE)]",""
"Row12025","Santana[LOCATION(NE)]",""
"Row12027","Porto Alegre[LOCATION(NE)]",""
"Row12070","Boa Viagem[LOCATION(NE)]",""
"Row12072","Salvador[LOCATION(NE)]",""
"Row12099","Barra[LOCATION(NE)]",""
"Row12156","curitiba[LOCATION(NE)]",""
"Row12158","Curitiba[LOCATION(NE)]",""
"Row12317","Belo Horizonte[LOCATION(NE)]",""
"Row12335","feliz[LOCATION(NE)]",""
"Row12435","Sales[LOCATION(NE)]",""
"Row12445","Guarulhos[LOCATION(NE)]",""
"Row12478","Boa Viagem[LOCATION(NE)]",""
"Row12500","navegantes[LOCATION(NE)]",""
"Row12553","Fortaleza[LOCATION(NE)]",""
"Row12572","Ipiranga[LOCATION(NE)]",""
"Row12616","uberlandia[LOCATION(NE)]",""
"Row12670","Carneiros[LOCATION(NE)]",""
"Row12681","Jardim[LOCATION(NE)]",""
"Row12682","Oriente[LOCATION(NE)]",""
"Row12790","saude[LOCATION(NE)]",""
"Row12811","feliz[LOCATION(NE)]",""
"Row12832","Campo Grande[LOCATION(NE)]",""
"Row12899","Caldas[LOCATION(NE)]",""
"Row12941","Santa Maria[LOCATION(NE)]",""
"Row12991","Fortaleza[LOCATION(NE)]",""
"Row13013","Serra[LOCATION(NE)]",""
"Row13049","Boa Viagem[LOCATION(NE)]",""
"Row13054","Recife[LOCATION(NE)]",""
"Row13076","laje[LOCATION(NE)]",""
"Row13132","Batalha[LOCATION(NE)]",""
"Row13135","Guararapes[LOCATION(NE)]",""
"Row13151","brasilia[LOCATION(NE)]",""
"Row13182","Porto[LOCATION(NE)]",""
"Row13185","Ribeira[LOCATION(NE)]",""
"Row13191","Descanso[LOCATION(NE)]",""
"Row13201","Londrina[LOCATION(NE)]",""
"Row13246","Silveiras[LOCATION(NE)]",""
"Row13264","Nilopolis[LOCATION(NE)]",""
"Row13303","Porto[LOCATION(NE)]",""
"Row13328","Cachoeira[LOCATION(NE)]",""
"Row13335","cachoeira[LOCATION(NE)]",""
"Row13338","Uirapuru[LOCATION(NE)]",""
"Row13340","Nova Lacerda[LOCATION(NE)]",""
"Row13349","Bastos[LOCATION(NE)]",""
"Row13365","Sorocaba[LOCATION(NE)]",""
"Row13436","alegria[LOCATION(NE)]",""
"Row13437","uniao[LOCATION(NE)]",""
"Row13473","Saudades[LOCATION(NE)]",""
"Row13474","Recife[LOCATION(NE)]",""
"Row13518","Flores[LOCATION(NE)]",""
"Row13555","Campestre[LOCATION(NE)]",""
"Row13618","Mato Grosso[LOCATION(NE)]",""
"Row13639","prainha[LOCATION(NE)]",""
"Row13642","Barra[LOCATION(NE)]",""
"Row13648","Caceres[LOCATION(NE)]",""
"Row13661","Mato Grosso[LOCATION(NE)]",""
"Row13676","Gramado[LOCATION(NE)]",""
"Row13678","POA[LOCATION(NE)]",""
"Row13706","Jardim[LOCATION(NE)]",""
"Row13734","Porto Alegre[LOCATION(NE)]",""
"Row13777","Boa Viagem[LOCATION(NE)]",""
"Row13779","Salvador[LOCATION(NE)]",""
"Row13808","Curitiba[LOCATION(NE)]",""
"Row13822","Serra[LOCATION(NE)]",""
"Row13871","Prainha[LOCATION(NE)]",""
"Row13876","Barra[LOCATION(NE)]",""
"Row13928","Quintana[LOCATION(NE)]",""
"Row14004","Tiradentes[LOCATION(NE)]",""
"Row14081","chacara[LOCATION(NE)]",""
"Row14096","Arraial[LOCATION(NE)]",""
"Row14158","Sorocaba[LOCATION(NE)]",""
"Row14257","Planaltina[LOCATION(NE)]",""
"Row14291","Capitolio[LOCATION(NE)]",""
"Row14311","CRUZEIRO[LOCATION(NE)]",""
"Row14336","Teresina[LOCATION(NE)]",""
"Row14398","Fortaleza[LOCATION(NE)]",""
"Row14438","Bandeira[LOCATION(NE)]",""
"Row14440","Recife[LOCATION(NE)]",""
"Row14442","Boa Viagem[LOCATION(NE)]",""
"Row14450","Recife[LOCATION(NE)]",""
"Row14455","Boa Viagem[LOCATION(NE)]",""
"Row14483","Cruz[LOCATION(NE)]",""
"Row14565","Pedro Canario[LOCATION(NE)]",""
"Row14608","Natal[LOCATION(NE)]",""
"Row14610","Rio Grande[LOCATION(NE)]",""
"Row14724","feliz[LOCATION(NE)]",""
"Row14737","barras[LOCATION(NE)]",""
"Row14754","Indaiatuba[LOCATION(NE)]",""
"Row14823","jardim[LOCATION(NE)]",""
"Row14826","Recife[LOCATION(NE)]",""
"Row14844","Catarina[LOCATION(NE)]",""
"Row14874","Mato Grosso[LOCATION(NE)]",""
"Row14898","Castelo[LOCATION(NE)]",""
"Row14967","Aparecida[LOCATION(NE)]",""
"Row14977","Castro[LOCATION(NE)]",""
"Row15025","Santa Cruz[LOCATION(NE)]",""
"Row15040","Boa Viagem[LOCATION(NE)]",""
"Row15042","Cachoeirinha[LOCATION(NE)]",""
"Row15044","Rio Grande[LOCATION(NE)]",""
"Row15084","alegria[LOCATION(NE)]",""
"Row15088","Serra[LOCATION(NE)]",""
"Row15107","Oliveira[LOCATION(NE)]",""
"Row15112","Dom Pedrito[LOCATION(NE)]",""
"Row15127","Limeira[LOCATION(NE)]",""
"Row15133","harmonia[LOCATION(NE)]",""
"Row15138","Bonito[LOCATION(NE)]",""
"Row15238","Feliz[LOCATION(NE)]",""
"Row15262","Mesquita[LOCATION(NE)]",""
"Row15322","Socorro[LOCATION(NE)]",""
"Row15361","Aparecida[LOCATION(NE)]",""
"Row15411","Porto[LOCATION(NE)]",""
"Row15435","Indaiatuba[LOCATION(NE)]",""
"Row15528","Soure[LOCATION(NE)]",""
"Row15552","Coqueiral[LOCATION(NE)]",""
"Row15553","Itaparica[LOCATION(NE)]",""
"Row15627","Boa Viagem[LOCATION(NE)]",""
"Row15668","Ananindeua[LOCATION(NE)]",""
"Row15713","SORRISO[LOCATION(NE)]",""
"Row15814","Jaciara[LOCATION(NE)]",""
"Row15908","Taquara[LOCATION(NE)]",""
"Row15918","Jales[LOCATION(NE)]",""
"Row15944","Ubatuba[LOCATION(NE)]",""
"Row15955","Piratininga[LOCATION(NE)]",""
"Row16006","teresina[LOCATION(NE)]",""
"Row16013","Porto[LOCATION(NE)]",""
"Row16029","Bauru[LOCATION(NE)]",""
"Row16072","pomerode[LOCATION(NE)]",""
"Row16122","Espinosa[LOCATION(NE)]",""
"Row16147","Campo Grande[LOCATION(NE)]",""
"Row16206","Canoas[LOCATION(NE)]",""
